solarSystemID,solarSystemName,security
30000001,Tanoo,0.8583240688
30000002,Lashesih,0.7516891467
30000003,Akpivem,0.8462923523999999
30000004,Jark,0.8170005312
30000005,Sasta,0.8143367281
30000006,Zaid,0.8642291534000001
30000007,Yuzier,0.9065555104999999
30000008,Nirbhi,0.8821157148000001
30000009,Sooma,0.5778194816
30000010,Chidah,0.5390520129999999
30000011,Shenela,0.4569593547
30000012,Asabona,0.3228842725
30000013,Onsooh,0.4428166329
30000014,Shamahi,0.3552422911
30000015,Sendaya,0.2939329721
30000016,Nazhgete,0.3914970557
30000017,Futzchag,0.17222855980000001
30000018,Kazna,0.231262625
30000019,Podion,0.10970497259999999
30000020,Lilmad,0.1604491933
30000021,Kuharah,0.18970528309999998
30000022,Jayneleb,0.11383995699999999
30000023,Fovihi,0.8693943492
30000024,Kiereend,0.8408345482999999
30000025,Rashy,0.8032659941
30000026,Ordize,0.6955641731000001
30000027,Psasa,0.7499132888
30000028,Eshtah,0.7684326314
30000029,Lachailes,0.5730512268
30000030,Kasrasi,0.5730756770000001
30000031,Mohas,0.6817834382
30000032,Hasiari,0.7981876171
30000033,Radima,0.7539199524
30000034,Alkez,0.7821229099
30000035,Nimambal,0.5940505703
30000036,Yishinoon,0.42471818200000006
30000037,Uplingur,0.42206931490000005
30000038,Dooz,0.42372885520000003
30000039,Bayuka,0.4007220365
30000040,Uzistoon,0.3906456008
30000041,Bairshir,0.364087747
30000042,Moh,0.4728350039
30000043,Sari,0.3793431217
30000044,Faspera,0.1282584758
30000045,Jaymass,0.2163113398
30000046,Mifrata,0.3038029901
30000047,Majamar,0.3691862577
30000048,Ihal,0.4927012447
30000049,Camal,0.2129768849
30000050,Fera,0.4772463535
30000051,Juddi,0.6491366386
30000052,Maspah,0.7999009765
30000053,Ibaria,0.7309787225
30000054,Shala,0.7155637584000001
30000055,Zemalu,0.7251585253
30000056,Khankenirdia,0.6135958354
30000057,Nikh,0.7741984605
30000058,Amphar,0.702186995
30000059,Salashayama,0.6655862314000001
30000060,Janus,0.5455705453
30000061,Agha,0.7187826208
30000062,Iosantin,0.4503433501
30000063,Orva,0.5099495888000001
30000064,Zet,0.5696976612
30000065,Akhrad,0.3584765248
30000066,Pirohdim,0.62869609
30000067,Sharir,0.39684868700000003
30000068,Usroh,0.5974575081
30000069,Thiarer,0.5420327808
30000070,Gomati,0.38742132380000005
30000071,Jangar,0.5273286254
30000072,Nakah,0.36386433840000004
30000073,Irshah,0.429506645
30000074,Hasateem,0.42649641200000005
30000075,Assah,0.2978021987
30000076,Tidacha,0.8200990448000001
30000077,Odlib,0.8245166009
30000078,Jofan,0.7795482038
30000079,Milu,0.7696253176000001
30000080,Yadi,0.7502684756999999
30000081,Buftiar,0.7087412966
30000082,Jarizza,0.7654309803
30000083,Ejahi,0.7289102352
30000084,Asghatil,0.794778168
30000085,Bar,0.6658381295
30000086,Sucha,0.6582647871
30000087,Gelhan,0.7016764276
30000088,Akeva,0.6648348486
30000089,Sosa,0.30117902739999997
30000090,Ilahed,0.3159434659
30000091,Eshwil,0.21896847149999998
30000092,Aranir,0.242788607
30000093,Ishkad,0.3660355384
30000094,Hahyil,0.20811484170000003
30000095,Asilem,0.2849976955
30000096,Mahnagh,0.205003378
30000097,Shach,0.3260430802
30000098,Kehrara,0.3648440243
30000099,Arena,0.44232988170000004
30000100,Timeor,0.3141310687
30000101,Uhtafal,0.4996122855
30000102,Dysa,0.2361953092
30000103,Serad,0.5258363731
30000104,Mahti,0.22828178640000002
30000105,Abha,0.4341013131
30000106,Shedoo,0.5061177385
30000107,Gamis,0.4739061737
30000108,Nieril,0.3534402077
30000109,Berta,0.4895572339
30000110,Bekirdod,0.4053491153
30000111,Hothomouh,0.42298102810000004
30000112,Arnola,0.4628354025
30000113,Astabih,0.4088175891
30000114,Ubtes,0.3360732465
30000115,Bimener,0.2700411978
30000116,Kenobanala,0.28939834940000003
30000117,Khabi,0.2486186152
30000118,Uanzin,0.4339720254
30000119,Itamo,0.6717383428
30000120,Mitsolen,0.633705945
30000121,Jatate,0.637428133
30000122,Mahtista,0.6582375509
30000123,Vaankalen,0.6471703744
30000124,Kylmabe,0.7319313204000001
30000125,Ahtulaima,0.6126889152
30000126,Geras,0.6501464617
30000127,Sirseshin,0.7479928157
30000128,Tuuriainas,0.6108489266
30000129,Unpas,0.9459645526
30000130,Shihuken,0.8745849748000001
30000131,Nomaa,0.6069360862
30000132,Ansila,0.9120170098999999
30000133,Hirtamon,0.9747262069
30000134,Hykkota,0.8236534653
30000135,Outuni,0.7341722992
30000136,Ohmahailen,0.6638108229
30000137,Eskunen,0.6252939349000001
30000138,Ikuchi,0.9868146226000001
30000139,Urlen,0.9599952107999999
30000140,Maurasi,0.912747593
30000141,Kisogo,1.0
30000142,Jita,0.9459131167
30000143,Niyabainen,0.9639236003
30000144,Perimeter,0.9531232306
30000145,New Caldari,1.0
30000146,Saisio,0.6524402583
30000147,Abagawa,0.6252975239999999
30000148,Jakanerva,0.7432522649
30000149,Gekutami,0.6991872083
30000150,Hurtoken,0.5859779984000001
30000151,Uoyonen,0.6987804104
30000152,Hampinen,0.5413266815
30000153,Poinen,0.5580525767
30000154,Liekuri,0.6006082952
30000155,Obanen,0.5617317332
30000156,Josameto,0.5776562929
30000157,Otela,0.5319067405
30000158,Olo,0.6760405466
30000159,Ikami,0.5320082852
30000160,Reisen,0.5185605593
30000161,Purjola,0.5205267610000001
30000162,Maila,0.4407153812
30000163,Akora,0.3246248762
30000164,Messoya,0.31508602420000004
30000165,Ishisomo,0.6508315431
30000166,Airmia,0.6231131515
30000167,Sakkikainen,0.5948887487
30000168,Friggi,0.509152956
30000169,Ihakana,0.3808086781
30000170,Vahunomi,0.5315917757
30000171,Otitoh,0.4816668913
30000172,Otomainen,0.47915860039999997
30000173,Vattuolen,0.7080730712000001
30000174,Onuse,0.7404270629999999
30000175,Soshin,0.6342210277
30000176,Keikaken,0.7213192305
30000177,Ukkalen,0.6451198629
30000178,Akkilen,0.6890455732999999
30000179,Silen,0.5222028788
30000180,Osmon,0.6802642981
30000181,Korsiki,0.6431657594
30000182,Inaya,0.5523502238
30000183,Nuken,0.7613056823000001
30000184,Uminas,0.4839091542
30000185,Airaken,0.5039918822
30000186,Oijanen,0.35196865340000005
30000187,Wuos,0.5617738684
30000188,Hentogaira,0.5669582798
30000189,Kiainti,0.5285221071
30000190,Vasala,0.49371228289999997
30000191,Walvalin,0.37868320710000003
30000192,Otanuomi,0.3722872564
30000193,Vouskiaho,0.5002789625999999
30000194,Otsela,0.38439987600000003
30000195,Tasti,0.28229096940000004
30000196,Otosela,0.2381571307
30000197,Uemon,0.19744678059999998
30000198,Paala,0.1343789522
30000199,Fuskunen,0.22463662350000002
30000200,Akkio,0.1621514141
30000201,Uchoshi,0.4741790498
30000202,Mastakomon,0.45696610390000003
30000203,Eruka,0.4172608157
30000204,Ohkunen,0.38488668950000005
30000205,Obe,0.3469314814
30000206,Wirashoda,0.4936357904
30000207,Osaa,0.3291989355
30000208,LZ-6SU,-0.1727831272
30000209,MC6O-F,-0.2804349532
30000210,U54-1L,-0.2680697672
30000211,B-588R,-0.1547702256
30000212,NCGR-Q,-0.2605165326
30000213,G-LOIT,-0.1570092989
30000214,HE-V4V,-0.21440293440000002
30000215,N-HSK0,-0.36044045020000004
30000216,05R-7A,-0.4017755511
30000217,7-UH4Z,-0.3638713436
30000218,5ZO-NZ,-0.3034607984
30000219,FS-RFL,-0.3708158237
30000220,Y0-BVN,-0.43953725060000004
30000221,X97D-W,-0.4276449021
30000222,0-R5TS,-0.2186268061
30000223,H-UCD1,-0.1722287636
30000224,7-K5EL,-0.15050205630000002
30000225,H-5GUI,-0.14051498
30000226,FH-TTC,-0.1375529255
30000227,FMBR-8,-0.1384410888
30000228,3HX-DL,-0.4238191363
30000229,UH-9ZG,-0.46258359130000004
30000230,NFM-0V,-0.49912257880000005
30000231,YXIB-I,-0.5069950556
30000232,MY-T2P,-0.3770807827
30000233,FA-DMO,-0.3855828165
30000234,GEKJ-9,-0.38635375689999996
30000235,Q-R3GP,-0.3551379998
30000236,N-5QPW,-0.3925579007
30000237,XV-8JQ,-0.3949292485
30000238,WBR5-R,-0.5158034428
30000239,4GYV-Q,-0.5365561447999999
30000240,4-HWWF,-0.4730263529
30000241,YMJG-4,-0.4168935404
30000242,8TPX-N,-0.43719160890000003
30000243,PM-DWE,-0.4236528689
30000244,K8X-6B,-0.4302153935
30000245,X445-5,-0.4137535228
30000246,KRUN-N,-0.3866967383
30000247,9OO-LH,-0.4669643271
30000248,V-OJEN,-0.3168427103
30000249,EIDI-N,-0.40610643590000006
30000250,P3EN-E,-0.27487966739999997
30000251,49-0LI,-0.320104364
30000252,IPAY-2,-0.33913369509999997
30000253,DAYP-G,-0.39276128060000004
30000254,IFJ-EL,-0.29159923309999997
30000255,47L-J4,-0.2613924205
30000256,Q-L07F,-0.32234718760000003
30000257,E-D0VZ,-0.2703388866
30000258,6WW-28,-0.2266559039
30000259,A8A-JN,-0.270631754
30000260,S-NJBB,-0.2815867005
30000261,T-GCGL,-0.7339960620999999
30000262,0MV-4W,-0.6627406505
30000263,TVN-FM,-0.6457986553
30000264,V-NL3K,-0.7635342351000001
30000265,AZBR-2,-0.7090482113
30000266,Z-8Q65,-0.7746851045
30000267,0J3L-V,-0.7907073326999999
30000268,H-NOU5,-0.1406062024
30000269,KX-2UI,-0.1582737157
30000270,MO-FIF,-0.11322386949999999
30000271,97-M96,-0.1888732808
30000272,MA-XAP,-0.09721006609999999
